worker_name,hire_name,hire_height,hire_width,is_cnc,trade_code,tool_operation_id,oper_group_id,num,worker_encoded,material,h_name_freq,h_width_freq,h_height_freq,material_freq,tool_operation_id_encoded,oper_group_id_encoded,trade_code_encoded
Бригада Тремасова,ШВЕЛЛЕР,12П,0,0,1368,35,65,15,4,ШВЕЛЛЕР 0 12П,0.0019353055017970694,0.49018523638374345,0.000552944429084877,0.000552944429084877,3.6575028636884306,3.8095238095060258,3.671728971962617
Бригада Тремасова,ШВЕЛЛЕР,12,0,0,1368,35,62,24,4,ШВЕЛЛЕР 0 12,0.0019353055017970694,0.49018523638374345,0.03317666574509262,0.0002764722145424385,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ШВЕЛЛЕР,20У,0,0,1368,35,62,30,4,ШВЕЛЛЕР 0 20У,0.0019353055017970694,0.49018523638374345,0.0002764722145424385,0.0002764722145424385,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ШВЕЛЛЕР,12П,0,0,1368,35,62,3,4,ШВЕЛЛЕР 0 12П,0.0019353055017970694,0.49018523638374345,0.000552944429084877,0.000552944429084877,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,УГОЛОК,40,40,0,1368,35,62,6,4,УГОЛОК 40 40,0.009952999723527785,0.022670721592479955,0.0395355266795687,0.0016588332872546309,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,УГОЛОК,50,32,0,1368,35,62,8,4,УГОЛОК 32 50,0.009952999723527785,0.0033176665745092617,0.02184130494885264,0.0008294166436273154,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,УГОЛОК,32,32,0,1368,35,62,38,4,УГОЛОК 32 32,0.009952999723527785,0.0033176665745092617,0.004423555432679016,0.0019353055017970694,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,УГОЛОК,50Х32Х4,0,0,1368,35,65,12,4,УГОЛОК 0 50Х32Х4,0.009952999723527785,0.49018523638374345,0.001105888858169754,0.000552944429084877,3.6575028636884306,3.8095238095060258,3.671728971962617
Бригада Тремасова,УГОЛОК,50Х32Х4,0,0,1368,35,62,51,4,УГОЛОК 0 50Х32Х4,0.009952999723527785,0.49018523638374345,0.001105888858169754,0.000552944429084877,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,УГОЛОК,25,25,0,1368,35,62,10,4,УГОЛОК 25 25,0.009952999723527785,0.011888305225324854,0.04395908211224772,0.000552944429084877,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,203,0,0,1368,35,65,2,4,ТРУБА 0 203,0.02930605474149848,0.49018523638374345,0.0013823610727121925,0.0013823610727121925,3.6575028636884306,3.8095238095060258,3.671728971962617
Бригада Тремасова,ТРУБА,133,0,0,1348,35,65,12,4,ТРУБА 0 133,0.02930605474149848,0.49018523638374345,0.001105888858169754,0.001105888858169754,3.6575028636884306,3.8095238095060258,2.3306836938218325
Бригада Тремасова,ТРУБА,32х3,0,0,1368,35,62,36,4,ТРУБА 0 32х3,0.02930605474149848,0.49018523638374345,0.001105888858169754,0.001105888858169754,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,76,0,0,1368,35,62,2,4,ТРУБА 0 76,0.02930605474149848,0.49018523638374345,0.002764722145424385,0.002764722145424385,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,152,0,0,1368,35,62,2,4,ТРУБА 0 152,0.02930605474149848,0.49018523638374345,0.001105888858169754,0.001105888858169754,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,325,0,1,1368,35,64,120,4,ТРУБА 0 325,0.02930605474149848,0.49018523638374345,0.000552944429084877,0.000552944429084877,3.6575028636884306,3.64766834573378,3.671728971962617
Бригада Тремасова,ТРУБА,40,40,0,1368,35,62,3,4,ТРУБА 40 40,0.02930605474149848,0.022670721592479955,0.0395355266795687,0.000552944429084877,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,32,0,0,1368,35,65,2,4,ТРУБА 0 32,0.02930605474149848,0.49018523638374345,0.004423555432679016,0.0013823610727121925,3.6575028636884306,3.8095238095060258,3.671728971962617
Бригада Тремасова,ТРУБА,32х3,0,0,1368,35,64,12,4,ТРУБА 0 32х3,0.02930605474149848,0.49018523638374345,0.001105888858169754,0.001105888858169754,3.6575028636884306,3.64766834573378,3.671728971962617
Бригада Тремасова,ТРУБА,40,0,0,1368,35,62,3,4,ТРУБА 0 40,0.02930605474149848,0.49018523638374345,0.0395355266795687,0.0016588332872546309,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,40,0,0,1368,35,65,1,4,ТРУБА 0 40,0.02930605474149848,0.49018523638374345,0.0395355266795687,0.0016588332872546309,3.6575028636884306,3.8095238095060258,3.671728971962617
Бригада Тремасова,ТРУБА,325,0,0,1368,35,65,22,4,ТРУБА 0 325,0.02930605474149848,0.49018523638374345,0.000552944429084877,0.000552944429084877,3.6575028636884306,3.8095238095060258,3.671728971962617
Бригада Тремасова,ТРУБА,40,40,0,1368,35,62,5,4,ТРУБА 40 40,0.02930605474149848,0.022670721592479955,0.0395355266795687,0.000552944429084877,3.6575028636884306,3.6599496221662466,3.671728971962617
Бригада Тремасова,ТРУБА,203,0,0,1368,35,62,1,4,ТРУБА 0 203,0.02930605474149848,0.49018523638374345,0.0013823610727121925,0.0013823610727121925,3.6575028636884306,3.6599496221662466,3.671728971962617
